symbol,period_ending,total_revenue,cost_of_revenue,gross_profit,research_and_development,"sales,_general_and_admin.",non-recurring_items,other_operating_items,operating_income,add'l_income/expense_items,earnings_before_interest_and_tax,interest_expense,earnings_before_tax,income_tax,minority_interest,equity_earnings/loss_unconsolidated_subsidiary,net_income-cont._operations,net_income,net_income_applicable_to_common_shareholders
SVM,31-03-2022,217923,119571,98352,921,29250,215156,534329,68181,5274,67782,10710,57072,13788,-5673,-32034,37611,43284,43284
SVM,31-03-2021,192105,95982,96123,-3237,24326,215156,534329,75034,-5429,75491,1988,73503,12994,5886,-32034,66395,60509,60509
SVM,31-03-2020,158829,87284,71545,679,22265,215156,534329,48601,8860,56185,2073,54112,8909,-1276,-32034,43927,45203,45203
SVRA,31-12-2022,4885368,3188738,1963046,27879,10929,215156,31,-38839,777,-38062,88,-38150,136211,75630,-32034,-38150,-38150,-38150
SVRA,31-12-2021,4885368,3188738,1963046,28991,12350,215156,136,-41477,745,-40732,2282,-43014,136211,75630,-32034,-43014,-43014,-43014
SVRA,31-12-2020,257,3188738,257,35038,14264,215156,255,-49300,1167,-48133,1482,-49615,136211,75630,-32034,-49615,-49615,-49615
SVRA,31-12-2019,4885368,3188738,1963046,38781,13081,26852,311,-79025,922,-78103,70,-78173,136211,75630,-32034,-78173,-78173,-78173
SVRE,31-12-2022,338,235,103,6090,2291,215156,534329,-8278,1445,-6833,241,-7074,136211,75630,-32034,-7074,-7074,-7074
SVRE,31-12-2021,145,93,52,6055,2435,215156,534329,-8439,1,-8438,73,-8511,136211,75630,-32034,-8511,-8511,-8511
SVRE,31-12-2020,98,80,18,3299,2124,215156,534329,-5406,1217,-4189,36,-4225,136211,75630,-32034,-4225,-4225,-4225
SVREW,31-12-2022,338,235,103,6090,2291,215156,534329,-8278,1445,-6833,241,-7074,136211,75630,-32034,-7074,-7074,-7074
SVREW,31-12-2021,145,93,52,6055,2435,215156,534329,-8439,1,-8438,73,-8511,136211,75630,-32034,-8511,-8511,-8511
SVREW,31-12-2020,98,80,18,3299,2124,215156,534329,-5406,1217,-4189,36,-4225,136211,75630,-32034,-4225,-4225,-4225
SVT,31-12-2022,43821,37877,5944,270736,8427,215156,534329,-2483,36,-2447,240,-2687,-570,75630,-32034,-2117,-2117,-2117
SVT,31-12-2021,40558,34570,5988,270736,9423,1890,534329,-5325,9524,4199,187,4012,-43,75630,-32034,4055,4055,4055
SVT,31-12-2020,49844,41604,8240,270736,7998,215156,534329,242,41948,242,180,62,-38,75630,-32034,100,100,100
SVT,31-12-2019,55272,43146,12126,270736,8883,215156,534329,3243,41948,3243,125,3118,671,75630,-32034,2447,2447,2447
SVVC,31-12-2022,-10008,3188738,-10008,270736,2439,272,534329,-12447,-51698,-64145,155791,-64145,136211,75630,-32034,-64145,-64145,-64145
SVVC,31-12-2021,6319,3188738,6319,270736,3255,272,534329,3063,-10451,-7388,155791,-7388,136211,75630,-32034,-7388,-7388,-7388
SVVC,31-12-2020,3651,3188738,3651,270736,3029,265,534329,621,-23569,-22947,155791,-22947,136211,75630,-32034,-22947,-22947,-22947
SVVC,31-12-2019,1790,3188738,1790,270736,-4658,-8998,534329,6447,-70437,-63990,155791,-63990,539,75630,-32034,-64529,-64529,-64529
SWAG,31-12-2022,58953,42384,16570,270736,18075,215156,534329,-1506,-67,-1478,155791,-1478,-699,75630,-32034,-778,-778,-778
SWAG,31-12-2021,39703,27867,11836,270736,12274,215156,534329,-438,702,128,155791,128,-108,75630,-32034,235,235,235
SWAG,31-12-2020,37752,26267,11485,270736,9995,215156,534329,1490,10,1500,49,1451,422,75630,-32034,1028,1028,1028
SWAV,31-12-2022,489733,64996,424737,81679,218924,215156,534329,124134,1055,122714,1886,120828,-95168,-2475,-32034,213521,215996,215996
SWAV,31-12-2021,237146,41438,195708,50544,146035,215156,534329,-871,-582,-7739,1096,-8835,301,-6286,-32034,-15422,-9136,-9136
SWAV,31-12-2020,67789,20991,46798,36926,75535,215156,534329,-65663,1256,-64407,1212,-65619,80,75630,-32034,-65699,-65699,-65699
SWAV,31-12-2019,42927,17159,25768,32853,44754,215156,534329,-51839,1736,-50103,944,-51047,62,75630,-32034,-51109,-51109,-51109
SWBI,30-04-2023,479242,324705,154537,7550,98580,215156,534329,48407,150,48557,331,48226,11350,75630,-32034,36876,36876,36876
SWBI,30-04-2022,864126,489562,374564,7262,115649,215156,534329,251653,2868,254521,2135,252386,57892,75630,-32034,194494,194494,194494
SWBI,30-04-2021,1059195,610212,448983,7480,121871,215156,534329,319632,2252,321884,3919,317965,74394,75630,-32034,243571,252049,252049
SWBI,30-04-2020,529618,363929,165689,7364,108020,215156,534329,50305,495,50800,11625,39175,11522,75630,-32034,27653,-61230,-61230
SWI,31-12-2022,719367,95983,623384,92330,407207,891101,52325,-819579,-5074,-824653,83374,-908027,21386,75630,-32034,-929413,-929413,-929413
SWI,31-12-2021,718632,227016,491616,101813,367360,215156,55314,-32871,454,-32417,64522,-96939,-32469,75630,-32034,-64470,-51408,-51408
SWI,31-12-2020,716770,211443,505327,85754,316195,215156,51125,52253,-469,51784,75886,-24102,-140166,75630,-32034,116064,158475,158475
SWI,31-12-2019,669103,198134,470969,75882,268602,215156,46623,79862,14,79876,108078,-28202,-3145,75630,-32034,-25057,18642,18642
SWIM,31-12-2022,695736,479267,216469,270736,158279,215156,28180,30010,-4766,29474,15753,13721,19415,4230,-32034,-1464,-5694,-5694
SWIM,31-12-2021,630456,426294,204162,270736,217775,215156,22566,-36179,4860,-29097,24433,-53530,8818,2222,-32034,-60126,-62348,-62348
SWIM,31-12-2020,403389,260616,142773,270736,85527,215156,17347,39899,1111,41010,18251,22759,6776,75630,-32034,15983,15983,15983
SWIM,31-12-2019,317975,219819,98156,270736,57388,215156,15643,25125,300,25425,22639,2786,-4671,75630,-32034,7457,7457,7457
SWK,31-12-2022,16947400,12663300,4284100,270736,3630500,323500,534329,330100,46300,376400,338500,37900,-132400,75630,-200,170100,1062500,1057900
SWK,01-01-2022,15281300,10189100,5092200,270736,3382600,14500,534329,1695100,9200,1704300,185400,1518900,55100,87000,1700,1552500,1689200,1676300
SWK,02-01-2021,12750000,8431900,4318100,270736,2770400,98400,534329,1449300,-42900,1406400,222700,1183700,38000,9100,-900,1153900,1233800,1211400
SWK,28-12-2019,12912900,8679500,4233400,270736,2743100,164700,534329,1325600,51000,1376600,282200,1094400,126800,-11200,-2200,954200,955800,955700
SWKH,31-12-2022,41484,3491,37993,6952,18134,215156,2599,9968,-477,9831,340,9491,-4000,75630,-32034,13491,13491,13491
SWKH,31-12-2021,56155,3188738,56155,7347,13333,215156,4061,31040,1971,33385,374,33011,7082,75630,-32034,25929,25929,25929
SWKH,31-12-2020,36712,3188738,36712,4268,14946,163,12091,5244,-1124,4120,455,3665,-1537,75630,-32034,5202,5202,5202
SWKH,31-12-2019,30747,2209,28538,1176,7430,215156,4954,14978,2202,17180,338,16842,-6986,75630,-32034,23828,23828,23828
SWKS,30-09-2022,5485500,2881200,2604300,617900,329800,30700,98900,1527000,-2500,1524500,47900,1476600,201400,75630,-32034,1275200,1275200,1275200
SWKS,01-10-2021,5109100,2596700,2512400,532300,322500,8900,36000,1612700,-600,1612100,13400,1598700,100400,75630,-32034,1498300,1498300,1498300
SWKS,02-10-2020,3355700,1742800,1612900,464100,231400,13800,11800,891800,-100,891700,155791,891700,76900,75630,-32034,814800,814800,814800
SWKS,27-09-2019,3376800,1773000,1603800,424100,198300,6800,22600,952000,9000,961000,155791,961000,107400,75630,-32034,853600,853600,853600
SWN,31-12-2022,15002000,1616000,13386000,270736,4831000,27000,1174000,7354000,-5270000,2084000,184000,1900000,51000,75630,-32034,1849000,1849000,1849000
SWN,31-12-2021,6667000,1170000,5497000,270736,2227000,89000,546000,2635000,-2524000,111000,136000,-25000,136211,75630,-32034,-25000,-25000,-25000
